Customer id,Gender,Age,Payment method
C00438,F,38,Credit Card
C00439,M,33,Credit Card
C00440,M,33,Credit Card
C00441,M,50,Cash
C00442,F,39,Cash
C00443,M,33,Cash
C00444,F,50,Cash
C00445,M,28,Credit Card
C00446,M,65,Credit Card
C00447,M,56,Cash
C00448,F,46,Cash
C00449,M,53,Cash
C00450,F,46,Credit Card
C00451,F,30,Mobile Payment
C00452,M,28,Credit Card
C00453,F,30,Credit Card
C00454,M,40,Mobile Payment
C00455,M,24,Credit Card
C00456,M,27,Cash
C00457,M,35,Cash
C00458,M,26,Credit Card
C00459,F,69,Cash
C00460,F,29,Cash
C00461,F,25,Cash
C00462,F,22,Cash
C00463,F,19,Credit Card
C00464,M,64,Cash
C00465,F,25,Mobile Payment
C00466,F,30,Credit Card
C00467,F,43,Mobile Payment
C00468,F,69,Mobile Payment
C00469,M,53,Credit Card
C00470,M,65,Cash
C00471,M,46,Cash
C00472,M,54,Cash
C00473,M,34,Cash
C00474,M,47,Cash
C00475,F,68,Mobile Payment
C00476,F,55,Credit Card
C00477,F,44,Cash
C00478,F,62,Credit Card
C00479,F,51,Cash
C00480,M,31,Credit Card
C00481,M,33,Credit Card
C00482,M,53,Cash
C00483,M,46,Cash
C00484,M,62,Mobile Payment
C00485,F,30,Cash
C00486,F,48,Credit Card
C00487,F,22,Mobile Payment
C00488,M,38,Credit Card
C00489,F,67,Credit Card
C00490,M,46,Credit Card
C00491,F,38,Mobile Payment
C00492,M,34,Credit Card
C00493,F,20,Credit Card
C00494,F,46,Credit Card
C00495,F,25,Credit Card
C00496,F,46,Cash
C00497,F,44,Cash
C00498,M,29,Credit Card
C00499,F,57,Cash
C00500,F,31,Credit Card
C00501,F,33,Credit Card
C00502,M,40,Cash
C00503,F,37,Credit Card
C00504,M,32,Mobile Payment
C00505,M,48,Cash
C00506,F,59,Cash
C00507,F,31,Credit Card
C00508,F,58,Credit Card
C00509,M,45,Mobile Payment
C00510,M,35,Cash
C00511,M,39,Mobile Payment
C00512,F,46,Cash
C00513,M,59,Mobile Payment
C00514,F,48,Credit Card
C00515,F,26,Credit Card
C00516,M,47,Credit Card
C00517,M,30,Cash
C00518,F,56,Cash
C00519,F,52,Cash
C00520,F,61,Cash
C00521,M,22,Credit Card
C00522,F,63,Credit Card
C00523,M,36,Credit Card
C00524,F,64,Cash
C00525,M,21,Credit Card
C00526,F,26,Credit Card
C00527,M,64,Cash
C00528,M,55,Mobile Payment
C00529,M,61,Credit Card
C00530,M,52,Mobile Payment
C00531,F,62,Cash
C00532,F,63,Credit Card
C00533,F,20,Cash
C00534,F,22,Cash
C00535,F,35,Cash
C00536,M,57,Cash
C00537,M,21,Credit Card
C00538,M,38,Credit Card
C00539,M,55,Cash
C00540,M,29,Cash
C00541,F,39,Credit Card
C00542,F,37,Credit Card
C00543,F,39,Mobile Payment
C00544,F,30,Credit Card
C00545,M,28,Cash
C00546,F,20,Credit Card
C00547,F,25,Credit Card
C00548,M,68,Credit Card
C00549,M,66,Cash
C00550,F,42,Cash
C00551,M,66,Cash
C00552,F,50,Credit Card
C00553,M,42,Mobile Payment
C00554,M,61,Mobile Payment
C00555,M,46,Credit Card
C00556,F,43,Mobile Payment
C00557,M,27,Credit Card
C00558,F,40,Mobile Payment
C00559,F,51,Credit Card
C00560,F,66,Cash
C00561,M,41,Credit Card
C00562,F,28,Cash
C00563,M,56,Credit Card
C00564,F,55,Cash
C00565,F,45,Cash
C00566,M,54,Credit Card
C00567,M,44,Cash
C00568,F,26,Credit Card
C00569,F,39,Credit Card
C00570,M,70,Mobile Payment
C00571,F,59,Cash
C00572,F,63,Cash
C00573,F,28,Credit Card
C00574,F,28,Cash
C00575,M,60,Cash
C00576,F,33,Cash
C00577,F,23,Credit Card
C00578,F,64,Cash
C00579,M,41,Credit Card
C00580,M,31,Mobile Payment
C00581,F,67,Credit Card
C00582,F,38,Cash
C00583,M,32,Cash
C00584,F,20,Cash
C00585,F,40,Cash
C00586,M,63,Credit Card
C00587,F,32,Credit Card
C00588,F,64,Cash
C00589,F,51,Credit Card
C00590,F,54,Cash
C00591,F,69,Credit Card
C00592,F,33,Cash
C00593,M,43,Credit Card
C00594,F,70,Cash
C00595,F,48,Mobile Payment
C00596,F,36,Credit Card
C00597,M,28,Credit Card
C00598,F,61,Cash
C00599,M,34,Cash
C00600,F,38,Cash
C00601,M,56,Cash
C00602,M,59,Cash
C00603,M,21,Cash
C00604,M,25,Cash
C00605,M,42,Credit Card
C00606,F,28,Cash
C00607,M,55,Credit Card
C00608,F,23,Mobile Payment
C00609,F,60,Cash
C00610,F,65,Credit Card
C00611,M,49,Cash
C00612,M,34,Mobile Payment
C00613,M,36,Mobile Payment
C00614,M,34,Cash
C00615,F,60,Cash
C00616,M,62,Credit Card
C00617,F,46,Mobile Payment
C00618,M,51,Mobile Payment
C00619,F,35,Credit Card
C00620,M,42,Credit Card
C00621,F,19,Credit Card
C00622,F,45,Credit Card
C00623,M,26,Cash
C00624,F,61,Mobile Payment
C00625,M,29,Cash
C00626,F,44,Credit Card
C00627,M,20,Cash
C00628,F,48,Credit Card
C00629,F,70,Credit Card
C00630,F,29,Cash
C00631,F,27,Credit Card
C00632,M,31,Credit Card
C00633,M,37,Cash
C00634,M,23,Cash
C00635,M,52,Credit Card
C00636,F,35,Credit Card
C00637,M,66,Cash
C00638,F,63,Cash
C00639,M,36,Credit Card
C00640,M,61,Cash
C00641,M,22,Cash
C00642,M,62,Credit Card
C00643,M,32,Credit Card
C00644,F,38,Cash
C00645,F,26,Cash
C00646,M,29,Cash
C00647,F,67,Mobile Payment
C00648,F,63,Credit Card
C00649,M,70,Cash
C00650,F,25,Cash
C00651,M,49,Cash
C00652,M,68,Cash
C00653,M,61,Mobile Payment
C00654,F,61,Credit Card
C00655,F,55,Cash
C00656,M,25,Mobile Payment
C00657,M,41,Credit Card
C00658,M,59,Credit Card
C00659,M,26,Cash
C00660,M,67,Cash
C00661,F,68,Cash
C00662,M,32,Credit Card
C00663,F,42,Mobile Payment
C00664,M,57,Mobile Payment
C00665,F,25,Cash
C00666,M,33,Credit Card
C00667,M,35,Cash
C00668,M,35,Credit Card
C00669,M,25,Cash
C00670,F,40,Credit Card
C00671,F,32,Mobile Payment
C00672,F,59,Cash
C00673,M,64,Credit Card
C00674,M,48,Cash
C00675,M,19,Cash
C00676,F,54,Cash
C00677,M,46,Credit Card
C00678,F,23,Cash
C00679,F,29,Credit Card
C00680,M,42,Mobile Payment
C00681,F,61,Credit Card
C00682,M,34,Credit Card
C00683,F,61,Cash
C00684,M,55,Credit Card
C00685,M,45,Credit Card
C00686,M,22,Cash
C00687,F,37,Credit Card
C00688,M,30,Credit Card
C00689,M,59,Cash
C00690,M,28,Cash
C00691,F,38,Credit Card
C00692,F,31,Credit Card
C00693,M,22,Cash
C00694,M,61,Cash
C00695,F,59,Cash
C00696,F,62,Credit Card
C00697,F,49,Credit Card
C00698,M,24,Credit Card
C00699,M,24,Cash
C00700,M,34,Cash
C00701,F,50,Cash
C00702,F,24,Cash
C00703,F,23,Cash
C00704,M,34,Cash
C00705,M,46,Mobile Payment
C00706,M,37,Cash
C00707,M,49,Cash
C00708,M,23,Cash
C00709,F,23,Mobile Payment
C00710,F,70,Credit Card
C00711,M,36,Cash
C00712,M,35,Cash
C00713,F,67,Credit Card
C00714,F,34,Credit Card
C00715,M,52,Cash
C00716,F,26,Cash
C00717,M,69,Cash
C00718,M,50,Credit Card
C00719,F,33,Credit Card
C00720,M,64,Cash
C00721,M,53,Cash
C00722,M,30,Credit Card
C00723,M,65,Credit Card
C00724,F,38,Credit Card
C00725,F,24,Credit Card
C00726,M,56,Mobile Payment
C00727,M,41,Credit Card
C00728,F,29,Credit Card
C00729,M,38,Cash
C00730,F,36,Mobile Payment
C00731,F,49,Cash
C00732,F,69,Cash
C00733,M,66,Cash
C00734,F,29,Cash
C00735,M,37,Mobile Payment
C00736,F,45,Cash
C00737,F,22,Cash
C00738,F,57,Cash
C00739,F,49,Credit Card
C00740,F,62,Mobile Payment
C00741,F,47,Cash
C00742,F,51,Mobile Payment
C00743,F,25,Credit Card
C00744,F,31,Cash
C00745,F,53,Mobile Payment
C00746,F,54,Cash
C00747,M,35,Credit Card
C00748,M,61,Credit Card
C00749,F,24,Credit Card
C00750,F,69,Cash
C00751,F,33,Cash
C00752,M,28,Credit Card
C00753,F,58,Credit Card
C00754,F,55,Cash
C00755,M,19,Mobile Payment
C00756,F,23,Cash
C00757,M,33,Credit Card
C00758,F,55,Credit Card
C00759,F,30,Cash
C00760,M,32,Cash
C00761,F,66,Cash
C00762,F,55,Credit Card
C00763,M,57,Credit Card
C00764,M,60,Cash
C00765,F,34,Cash
C00766,F,27,Credit Card
C00767,F,19,Cash
C00768,M,30,Credit Card
C00769,M,35,Mobile Payment
C00770,M,68,Credit Card
C00771,F,47,Cash
C00772,M,62,Credit Card
C00773,F,52,Cash
C00774,F,48,Cash
C00775,M,37,Cash
C00776,M,59,Mobile Payment
C00777,M,56,Cash
C00778,F,32,Cash
C00779,F,60,Cash
C00780,F,47,Cash
C00781,M,68,Credit Card
C00782,F,58,Credit Card
C00783,M,52,Mobile Payment
C00784,M,39,Credit Card
C00785,F,50,Credit Card
C00786,M,29,Credit Card
C00787,M,45,Credit Card
C00788,F,35,Cash
C00789,F,31,Mobile Payment
C00790,F,50,Mobile Payment
C00791,F,46,Credit Card
C00792,F,33,Cash
C00793,M,27,Credit Card
C00794,M,48,Mobile Payment
C00795,F,45,Mobile Payment
C00796,F,22,Credit Card
C00797,F,24,Mobile Payment
C00798,F,23,Cash
C00799,M,59,Cash
C00800,F,69,Credit Card
C00801,F,46,Cash
C00802,M,69,Cash
C00803,F,45,Cash
C00804,F,55,Credit Card
C00805,F,70,Cash
C00806,M,51,Cash
C00807,M,56,Cash
C00808,F,46,Credit Card
C00809,M,47,Cash
C00810,F,52,Credit Card
C00811,M,23,Cash
C00812,F,62,Credit Card
C00813,M,49,Cash
C00814,F,51,Cash
C00815,F,61,Credit Card
C00816,M,21,Credit Card
C00817,M,41,Mobile Payment
C00818,F,55,Mobile Payment
C00819,F,42,Cash
C00820,M,64,Credit Card
C00821,F,54,Cash
C00822,F,29,Credit Card
C00823,M,36,Mobile Payment
C00824,M,58,Cash
C00825,F,48,Cash
C00826,M,53,Credit Card
C00827,M,54,Cash
C00828,F,49,Credit Card
C00829,M,54,Credit Card
C00830,M,27,Credit Card
C00831,M,27,Cash
C00832,F,62,Cash
C00833,M,42,Credit Card
C00834,F,51,Cash
C00835,F,20,Credit Card
C00836,F,44,Credit Card
C00837,M,56,Credit Card
C00838,F,23,Cash
C00839,F,22,Mobile Payment
C00840,F,43,Cash
C00841,F,59,Credit Card
C00842,M,57,Cash
C00843,M,48,Cash
C00844,M,45,Cash
C00845,F,29,Credit Card
C00846,M,63,Cash
C00847,F,22,Cash
C00848,M,53,Mobile Payment
C00849,F,21,Cash
C00850,M,53,Cash
C00851,F,70,Credit Card
C00852,M,56,Cash
C00853,M,47,Cash
C00854,F,33,Credit Card
C00855,F,22,Cash
C00856,F,22,Cash
C00857,F,41,Credit Card
C00858,M,19,Cash
C00859,F,31,Mobile Payment
C00860,M,52,Cash
C00861,F,49,Cash
C00862,F,30,Cash
C00863,F,37,Mobile Payment
C00864,F,34,Credit Card
C00865,F,69,Cash
C00866,M,44,Credit Card
C00867,M,57,Cash
C00868,M,61,Credit Card
C00869,F,70,Mobile Payment
C00870,F,21,Credit Card
C00871,F,28,Cash
C00872,M,36,Cash
C00873,M,46,Credit Card
C00874,M,64,Cash
C00875,F,52,Cash
C00876,M,28,Mobile Payment
C00877,M,37,Cash
C00878,F,47,Credit Card
C00879,M,70,Mobile Payment
C00880,M,66,Cash
C00881,F,46,Credit Card
C00882,F,70,Cash
C00883,M,29,Cash
C00884,M,37,Cash
C00885,M,70,Cash
C00886,M,43,Mobile Payment
C00887,F,46,Credit Card
C00888,M,36,Credit Card
C00889,F,65,Mobile Payment
C00890,M,56,Credit Card
C00891,F,19,Credit Card
C00892,M,47,Cash
C00893,F,28,Cash
C00894,M,40,Credit Card
C00895,M,23,Mobile Payment
C00896,M,50,Credit Card
C00897,F,20,Mobile Payment
C00898,M,47,Credit Card
C00899,M,61,Cash
C00900,M,49,Credit Card
C00901,M,60,Credit Card
C00902,M,25,Credit Card
C00903,F,40,Credit Card
C00904,F,38,Credit Card
C00905,M,32,Mobile Payment
C00906,M,19,Cash
C00907,M,37,Cash
C00908,M,63,Cash
C00909,F,22,Mobile Payment
C00910,F,52,Credit Card
C00911,M,28,Credit Card
C00912,F,22,Credit Card
C00913,F,20,Mobile Payment
C00914,M,47,Credit Card
C00915,M,63,Mobile Payment
C00916,M,40,Cash
C00917,F,69,Credit Card
C00918,M,28,Cash
C00919,F,58,Credit Card
C00920,F,66,Credit Card
C00921,F,67,Credit Card
C00922,F,21,Cash
C00923,F,66,Credit Card
C00924,F,27,Credit Card
C00925,M,42,Mobile Payment
C00926,M,65,Credit Card
C00927,M,24,Cash
C00928,M,56,Credit Card
C00929,M,53,Credit Card
C00930,M,26,Credit Card
C00931,F,36,Credit Card
C00932,M,48,Cash
C00933,M,29,Cash
C00934,M,32,Cash
C00935,M,27,Mobile Payment
C00936,M,68,Cash
C00937,F,63,Credit Card
C00938,F,37,Credit Card
C00939,F,56,Credit Card
C00940,F,33,Cash
C00941,M,51,Cash
C00942,M,30,Credit Card
C00943,F,58,Credit Card
C00944,F,58,Credit Card
C00945,F,50,Mobile Payment
C00946,M,32,Credit Card
C00947,F,61,Cash
C00948,F,35,Cash
C00949,F,24,Credit Card
C00950,M,25,Cash
C00951,M,32,Cash
C00952,M,38,Cash
C00953,F,29,Cash
C00954,M,47,Cash
C00955,M,56,Credit Card
C00956,F,60,Mobile Payment
C00957,F,67,Credit Card
C00958,F,20,Credit Card
C00959,F,47,Credit Card
C00960,F,22,Credit Card
C00961,F,37,Credit Card
C00962,M,57,Mobile Payment
C00963,M,51,Cash
C00964,F,31,Cash
C00965,M,28,Credit Card
C00966,M,35,Mobile Payment
C00967,F,66,Mobile Payment
C00968,F,66,Credit Card
C00969,M,36,Credit Card
C00970,F,36,Cash
C00971,M,66,Credit Card
C00972,M,70,Cash
C00973,F,32,Credit Card
C00974,F,20,Cash
C00975,M,64,Cash
C00976,F,36,Credit Card
C00977,M,61,Credit Card
C00978,M,38,Mobile Payment
C00979,F,46,Mobile Payment
C00980,M,34,Cash
C00981,M,61,Cash
C00982,F,43,Credit Card
C00983,M,40,Cash
C00984,F,21,Credit Card
C00985,M,41,Cash
C00986,M,42,Credit Card
C00987,F,45,Cash
C00988,F,21,Cash
C00989,F,21,Cash
C00990,M,49,Credit Card
C00991,M,34,Credit Card
C00992,M,48,Cash
C00993,M,47,Cash
C00994,F,58,Credit Card
C00995,F,42,Credit Card
C00996,F,44,Cash
C00997,M,54,Cash
C00998,M,27,Cash
C00999,F,43,Cash
C01000,M,59,Cash
C01001,F,55,Cash
C01002,M,33,Credit Card
C01003,F,31,Cash
C01004,M,20,Credit Card
C01005,M,51,Cash
C01006,F,26,Credit Card
C01007,M,64,Credit Card
C01008,F,22,Cash
C01009,F,45,Cash
C01010,F,23,Mobile Payment
C01011,F,50,Cash
C01012,M,34,Credit Card
C01013,F,27,Credit Card
C01014,F,30,Cash
C01015,F,42,Cash
C01016,F,24,Cash
C01017,F,69,Mobile Payment
C01018,M,70,Cash
C01019,M,70,Credit Card
C01020,M,29,Credit Card
C01021,M,69,Credit Card
C01022,M,42,Credit Card
C01023,F,46,Mobile Payment
C01024,F,30,Credit Card
C01025,M,40,Cash
C01026,F,24,Cash
C01027,M,68,Cash
C01028,F,26,Credit Card
C01029,M,69,Cash
C01030,M,36,Credit Card
C01031,F,54,Cash
C01032,M,60,Cash
C01033,F,41,Credit Card
C01034,M,31,Cash
C01035,F,50,Credit Card
C01036,M,40,Cash
C01037,F,51,Mobile Payment
C01038,M,55,Cash
C01039,F,63,Credit Card
C01040,F,41,Mobile Payment
C01041,F,48,Cash
C01042,M,33,Credit Card
C01043,M,55,Cash
C01044,F,21,Credit Card
