Invoice no,Customer id,Product id list,Invoice date,Shopping mall
INV00032,C01655,"P00032,P00402,P00416,P00508",07/05/2025,CYB
INV00033,C01054,"P00228,P00271,P00296,P00387,P00196",22/06/2025,MK
INV00034,C01449,"P00087,P00523,P00519,P00176",26/05/2025,MK
INV00035,C01489,"P00107,P00097",13/05/2025,TKO
INV00036,C01293,"P00268,P00219,P00421",09/09/2024,TKO
INV00037,C00013,"P00505,P00336,P00317",07/01/2024,MK
INV00038,C01529,"P00001,P00320,P00564",05/09/2025,ST
INV00039,C00633,"P00317,P00350,P00496,P00392,P00269",29/05/2025,ST
INV00040,C00881,"P00021,P00181,P00439,P00018",20/09/2025,CYB
INV00041,C00387,"P00021,P00181,P00439,P00050",19/08/2025,TKO
INV00042,C00760,"P00464,P00255",03/02/2024,ST
INV00043,C00273,"P00316,P00542,P00037,P00079",06/07/2024,ST
INV00044,C01748,P00231,25/09/2025,ST
INV00045,C01783,"P00415,P00147,P00452",30/12/2025,CYB
INV00046,C00854,"P00447,P00383,P00144,P00266,P00042",26/02/2025,MK
INV00047,C00491,"P00505,P00336,P00317,P00424",23/07/2024,ST
INV00048,C01714,"P00064,P00097,P00129,P00140",11/03/2025,ST
INV00049,C00142,"P00459,P00117,P00329,P00400",26/02/2025,MK
INV00050,C00515,"P00167,P00201,P00371",20/08/2024,TKO
INV00051,C00691,"P00187,P00100",20/04/2024,TKO
INV00052,C00101,"P00486,P00559,P00048,P00123,P00314",02/07/2025,CYB
INV00053,C00080,P00010,17/12/2024,TKO
INV00054,C01606,"P00325,P00259,P00438,P00309,P00346",28/03/2025,CYB
INV00055,C01304,"P00165,P00342,P00259,P00305,P00216",29/04/2024,MK
INV00056,C00559,"P00237,P00013,P00414,P00138",18/06/2025,TKO
INV00057,C01177,"P00505,P00336,P00317",19/05/2025,TKO
INV00058,C01069,"P00369,P00434",05/06/2024,TKO
INV00059,C00556,P00051,27/01/2024,CYB
INV00060,C00071,P00154,20/01/2024,MK
INV00061,C01199,"P00505,P00336,P00317,P00457,P00206",26/12/2024,MK
INV00062,C01833,"P00412,P00315,P00318,P00570,P00063",01/08/2025,MK
INV00063,C01512,"P00505,P00336,P00317,P00135",12/12/2024,MK
INV00064,C00368,"P00050,P00060,P00181,P00479,P00026",23/09/2025,TKO
INV00065,C00889,"P00021,P00181,P00439",05/02/2024,TKO
INV00066,C01802,"P00322,P00035,P00398",09/02/2025,CYB
INV00067,C00061,"P00505,P00336,P00317,P00421",02/02/2024,TKO
INV00068,C00811,"P00073,P00353,P00203",02/10/2025,MK
INV00069,C00202,"P00496,P00554,P00284,P00443",17/06/2024,TKO
INV00070,C01510,P00200,03/07/2025,CYB
INV00071,C00764,"P00505,P00336,P00317,P00179",17/03/2025,ST
INV00072,C01052,"P00309,P00195",13/10/2025,MK
INV00073,C01787,"P00021,P00181,P00439,P00147",19/07/2025,ST
INV00074,C01014,P00304,09/12/2024,ST
INV00075,C00655,"P00021,P00181,P00439,P00299",13/03/2024,CYB
INV00076,C00718,"P00505,P00336,P00317,P00112,P00459",25/09/2025,MK
INV00077,C00101,"P00549,P00397,P00391,P00125,P00551",26/02/2024,MK
INV00078,C01257,"P00572,P00525,P00399,P00450",05/11/2025,TKO
INV00079,C00073,P00030,14/07/2025,TKO
INV00080,C01183,"P00468,P00039,P00093,P00439,P00393",02/04/2024,TKO
INV00081,C01601,P00051,17/02/2024,TKO
INV00082,C00131,"P00505,P00336,P00317",15/03/2025,TKO
INV00083,C00189,"P00016,P00420,P00402",24/03/2024,CYB
INV00084,C01065,"P00328,P00549,P00415,P00102",13/06/2024,MK
INV00085,C01480,"P00021,P00181,P00439,P00337,P00322",15/03/2025,TKO
INV00086,C00874,"P00027,P00458,P00273,P00386",27/05/2025,TKO
INV00087,C00107,"P00480,P00373,P00185",11/07/2024,TKO
INV00088,C01012,"P00142,P00190,P00330,P00563,P00043",08/10/2024,CYB
INV00089,C00046,"P00133,P00014,P00392,P00131,P00420",31/10/2024,TKO
INV00090,C00065,"P00311,P00426",12/02/2025,CYB
INV00091,C00235,"P00540,P00524",19/02/2024,ST
INV00092,C00718,"P00505,P00336,P00317,P00367",17/06/2024,TKO
INV00093,C01839,"P00539,P00510,P00108,P00200",03/07/2024,TKO
INV00094,C01072,"P00505,P00336,P00317,P00450,P00403",16/09/2024,TKO
INV00095,C00256,"P00181,P00069,P00485,P00510,P00513",01/09/2025,TKO
INV00096,C01425,"P00141,P00456",23/09/2024,MK
INV00097,C01800,"P00505,P00336,P00317",06/06/2024,MK
INV00098,C00769,"P00027,P00069,P00177,P00074,P00490",09/10/2025,TKO
INV00099,C01731,P00471,20/12/2025,CYB
INV00100,C00590,"P00505,P00336,P00317,P00516,P00328",07/07/2024,CYB
INV00101,C01702,"P00021,P00181,P00439,P00182,P00019",08/01/2025,CYB
INV00102,C01698,"P00021,P00181,P00439,P00501,P00335",14/07/2024,TKO
INV00103,C01225,"P00534,P00016,P00201",17/02/2024,MK
INV00104,C00978,"P00561,P00295,P00166,P00156",16/12/2024,CYB
INV00105,C00260,"P00562,P00458,P00234,P00414",05/07/2024,TKO
INV00106,C01381,"P00505,P00336,P00317,P00425",09/08/2024,MK
INV00107,C00252,"P00505,P00336,P00317,P00461",04/07/2024,CYB
INV00108,C00207,"P00505,P00336,P00317",04/02/2025,TKO
INV00109,C00316,"P00250,P00563,P00525,P00460",12/09/2024,ST
INV00110,C01338,"P00505,P00336,P00317,P00496,P00084",02/03/2024,ST
INV00111,C00913,"P00092,P00379,P00469,P00134",28/07/2024,ST
INV00112,C00028,"P00021,P00181,P00439,P00389,P00390",10/03/2024,CYB
INV00113,C00339,"P00345,P00375,P00514,P00505",21/10/2025,ST
INV00114,C00756,"P00572,P00522",14/09/2024,ST
INV00115,C00147,"P00021,P00181,P00439,P00312,P00107",24/11/2024,MK
INV00116,C01153,"P00021,P00181,P00439,P00305,P00420",21/05/2024,TKO
INV00117,C01691,"P00021,P00181,P00439,P00405,P00249",08/06/2025,CYB
INV00118,C01113,"P00242,P00271,P00390,P00204,P00051",20/04/2025,MK
INV00119,C00175,"P00049,P00492,P00477",17/03/2024,MK
INV00120,C00301,"P00141,P00021,P00216",25/05/2024,TKO
INV00121,C01530,"P00505,P00336,P00317,P00497",24/10/2025,MK
INV00122,C01741,"P00505,P00336,P00317,P00056,P00490",05/02/2025,ST
INV00123,C01784,"P00163,P00045,P00478",27/07/2024,TKO
INV00124,C00868,"P00111,P00297",20/12/2024,TKO
INV00125,C00691,"P00273,P00567,P00540,P00449",19/01/2025,TKO
INV00126,C00270,"P00438,P00453",21/08/2025,MK
INV00127,C01057,"P00328,P00026,P00066,P00164,P00071",16/05/2024,TKO
INV00128,C01647,"P00505,P00336,P00317,P00548,P00322",18/05/2025,ST
INV00129,C01623,"P00021,P00181,P00439",26/03/2024,CYB
INV00130,C00306,P00412,31/10/2024,ST
INV00131,C00108,"P00559,P00567,P00243,P00490",25/06/2025,MK
INV00132,C01043,"P00505,P00336,P00317,P00449",23/06/2025,ST
INV00133,C00916,"P00021,P00181,P00439",10/12/2025,CYB
INV00134,C00261,"P00021,P00181,P00439",08/07/2025,CYB
INV00135,C01535,"P00021,P00181,P00439,P00477",15/07/2025,MK
INV00136,C00858,"P00505,P00336,P00317,P00409",09/11/2025,TKO
INV00137,C00403,P00377,10/09/2025,MK
INV00138,C00027,"P00505,P00336,P00317,P00017,P00086",23/09/2024,CYB
INV00139,C01396,P00462,09/05/2025,CYB
INV00140,C01568,"P00021,P00181,P00439,P00387,P00487",30/11/2024,MK
INV00141,C01140,"P00440,P00500,P00527,P00479",28/08/2024,CYB
INV00142,C00810,"P00505,P00336,P00317,P00482,P00532",20/04/2024,TKO
INV00143,C01695,P00388,16/03/2024,ST
INV00144,C00263,"P00021,P00181,P00439,P00384,P00268",18/05/2025,MK
INV00145,C00899,"P00021,P00181,P00439,P00091",29/07/2025,TKO
INV00146,C01305,"P00100,P00086",11/07/2024,ST
INV00147,C01582,"P00021,P00181,P00439",20/03/2024,TKO
INV00148,C00922,"P00021,P00181,P00439",12/12/2025,ST
INV00149,C00988,"P00346,P00042,P00528",30/08/2024,CYB
INV00150,C01627,"P00515,P00266",30/03/2024,CYB
INV00151,C01291,"P00481,P00110,P00288,P00427",15/05/2025,TKO
INV00152,C00863,P00384,29/02/2024,MK
INV00153,C01760,"P00188,P00004,P00566,P00532",05/06/2024,TKO
INV00154,C00183,"P00505,P00336,P00317,P00086,P00566",28/10/2024,CYB
INV00155,C00440,"P00507,P00294",13/10/2025,ST
INV00156,C01495,"P00561,P00028,P00544",01/09/2025,MK
INV00157,C00082,"P00354,P00501,P00137",09/03/2024,CYB
INV00158,C00500,P00248,11/03/2024,ST
INV00159,C01033,"P00505,P00336,P00317,P00411,P00064",30/07/2025,CYB
INV00160,C01772,"P00021,P00181,P00439",11/10/2024,TKO
INV00161,C01593,"P00505,P00336,P00317,P00306",18/06/2025,CYB
INV00162,C00575,"P00505,P00336,P00317,P00444",04/07/2025,TKO
INV00163,C00050,"P00364,P00441,P00167,P00422",07/05/2024,CYB
INV00164,C01379,P00454,18/08/2025,MK
INV00165,C01113,"P00505,P00336,P00317",15/05/2024,CYB
INV00166,C00244,"P00021,P00181,P00439,P00468",01/10/2025,ST
INV00167,C00307,"P00505,P00336,P00317,P00382",07/12/2024,ST
INV00168,C00170,"P00143,P00264",13/10/2024,MK
INV00169,C00790,"P00505,P00336,P00317,P00210,P00180",29/12/2024,ST
INV00170,C00749,P00207,11/01/2024,MK
INV00171,C01354,"P00358,P00098",07/03/2025,CYB
INV00172,C01084,"P00021,P00181,P00439,P00040",26/07/2024,ST
INV00173,C00012,P00288,24/01/2025,MK
INV00174,C01755,"P00254,P00280,P00304,P00428",07/10/2024,TKO
INV00175,C00478,"P00505,P00336,P00317,P00408",15/09/2025,ST
INV00176,C00899,"P00282,P00358,P00487",04/02/2024,TKO
INV00177,C00827,"P00021,P00181,P00439",18/02/2024,TKO
INV00178,C00851,P00199,20/04/2025,MK
INV00179,C00672,"P00505,P00336,P00317",30/08/2024,TKO
INV00180,C01290,"P00297,P00569,P00561,P00071",10/03/2024,ST
INV00181,C00900,"P00168,P00212,P00389",04/03/2024,TKO
INV00182,C00855,"P00341,P00480,P00560,P00363,P00515",08/12/2025,TKO
INV00183,C00522,"P00359,P00149",07/07/2025,MK
INV00184,C00848,"P00245,P00366,P00315,P00469,P00222",24/01/2024,ST
INV00185,C01493,"P00021,P00181,P00439",12/02/2025,ST
INV00186,C01643,"P00505,P00336,P00317,P00318,P00171",22/06/2024,TKO
INV00187,C00019,"P00505,P00336,P00317",20/12/2025,CYB
INV00188,C00392,"P00512,P00517,P00348,P00358",18/03/2024,MK
INV00189,C00477,"P00085,P00309",25/08/2024,ST
INV00190,C01040,"P00253,P00348,P00451",15/04/2025,TKO
INV00191,C00162,"P00385,P00044,P00175,P00100",07/11/2025,ST
INV00192,C01282,"P00075,P00542,P00549",13/07/2025,TKO
INV00193,C00782,"P00021,P00181,P00439,P00066,P00166",31/07/2024,ST
INV00194,C00352,"P00280,P00443,P00561",05/08/2024,TKO
INV00195,C01027,P00387,25/11/2025,TKO
INV00196,C00330,"P00087,P00072,P00299",23/02/2024,ST
INV00197,C01767,"P00505,P00336,P00317,P00298",05/11/2025,ST
INV00198,C00037,"P00505,P00336,P00317,P00218",21/11/2025,CYB
INV00199,C01500,"P00155,P00074,P00020,P00156,P00570",21/02/2025,TKO
INV00200,C00915,P00106,18/07/2024,TKO
INV00201,C01106,"P00356,P00099,P00227",30/10/2024,CYB
INV00202,C00369,"P00223,P00289,P00410",09/08/2025,TKO
INV00203,C00537,"P00403,P00032",31/10/2025,ST
INV00204,C01524,"P00021,P00181,P00439",07/08/2025,MK
INV00205,C00984,"P00261,P00434",24/11/2025,TKO
INV00206,C00548,P00436,25/12/2025,TKO
INV00207,C00840,"P00505,P00336,P00317,P00006",07/06/2025,MK
INV00208,C01444,"P00505,P00336,P00317,P00288,P00346",17/10/2024,CYB
INV00209,C01038,"P00402,P00091,P00557,P00362",19/10/2025,ST
INV00210,C00905,"P00272,P00264,P00401",29/12/2024,ST
INV00211,C01300,"P00314,P00018,P00334,P00203",14/07/2025,ST
INV00212,C00338,"P00167,P00080,P00398",28/05/2025,MK
INV00213,C01389,"P00021,P00181,P00439,P00570,P00028",10/01/2024,TKO
INV00214,C00282,"P00021,P00181,P00439",03/03/2025,TKO
INV00215,C00658,"P00021,P00181,P00439,P00461,P00143",06/03/2025,MK
INV00216,C00329,"P00543,P00115,P00568,P00484",11/05/2024,ST
INV00217,C00991,"P00021,P00181,P00439",10/01/2024,ST
INV00218,C00933,"P00021,P00181,P00439,P00563,P00202",28/03/2025,MK
INV00219,C01262,"P00275,P00241,P00529,P00497",21/11/2024,MK
INV00220,C00062,"P00505,P00336,P00317",01/09/2025,TKO
INV00221,C00882,"P00021,P00181,P00439,P00124",08/08/2025,MK
INV00222,C00412,"P00568,P00271",12/11/2024,ST
INV00223,C00327,"P00505,P00336,P00317",14/10/2025,CYB
INV00224,C01792,"P00149,P00227,P00336,P00462,P00181",30/06/2025,TKO
INV00225,C00304,P00072,30/09/2025,ST
INV00226,C01336,P00558,22/12/2025,TKO
INV00227,C00911,"P00021,P00181,P00439,P00118,P00263",19/04/2024,MK
INV00228,C01135,"P00505,P00336,P00317,P00249,P00074",08/01/2024,MK
INV00229,C01228,"P00015,P00377,P00022,P00320,P00371",04/11/2024,CYB
INV00230,C01706,"P00505,P00336,P00317",30/07/2025,TKO
INV00231,C01770,"P00198,P00368,P00491",14/06/2024,ST
INV00232,C01031,"P00021,P00181,P00439,P00193",15/02/2024,ST
INV00233,C00488,"P00193,P00211,P00019,P00346,P00300",09/07/2025,TKO
INV00234,C00492,"P00001,P00020",01/02/2025,CYB
INV00235,C01597,"P00420,P00462,P00300,P00205,P00238",10/05/2024,ST
INV00236,C01506,"P00021,P00181,P00439,P00572",23/11/2025,MK
INV00237,C01677,"P00257,P00437",09/02/2024,ST
INV00238,C00219,"P00505,P00336,P00317",18/01/2025,MK
INV00239,C00452,"P00412,P00078,P00371,P00218,P00027",14/09/2024,TKO
INV00240,C01185,"P00342,P00489,P00534,P00072",21/06/2025,CYB
INV00241,C01603,"P00505,P00336,P00317,P00034",21/03/2024,TKO
INV00242,C00401,"P00484,P00360,P00080",13/06/2024,ST
INV00243,C00932,"P00122,P00466",19/06/2024,MK
INV00244,C00324,"P00256,P00546",24/12/2025,MK
INV00245,C01238,"P00021,P00181,P00439",26/12/2025,MK
INV00246,C00794,P00125,01/12/2025,CYB
INV00247,C01827,"P00505,P00336,P00317",07/02/2024,ST
INV00248,C01397,"P00107,P00289,P00133,P00141,P00291",13/11/2024,ST
INV00249,C01299,"P00505,P00336,P00317",29/09/2025,MK
INV00250,C01686,"P00021,P00181,P00439,P00029",18/11/2025,TKO
INV00251,C00879,"P00281,P00010,P00427",19/10/2025,TKO
INV00252,C00848,"P00216,P00375",19/05/2024,TKO
INV00253,C01606,"P00451,P00064",04/01/2025,CYB
INV00254,C00650,"P00021,P00181,P00439,P00167",18/06/2025,MK
INV00255,C00060,"P00297,P00032,P00030,P00363,P00234",26/10/2025,CYB
INV00256,C00666,P00031,04/04/2025,CYB
INV00257,C00240,"P00021,P00181,P00439,P00459",10/02/2025,TKO
INV00258,C01758,P00091,19/08/2025,ST
INV00259,C00730,"P00570,P00050,P00382",22/10/2025,TKO
INV00260,C01423,"P00218,P00099",05/04/2024,TKO
INV00261,C00595,"P00098,P00421,P00238,P00356,P00034",11/04/2024,MK
INV00262,C00930,"P00219,P00060,P00496,P00560",09/03/2025,MK
INV00263,C00590,"P00560,P00217,P00114,P00351",14/01/2024,ST
INV00264,C00287,P00516,09/11/2025,TKO
INV00265,C00378,"P00263,P00204,P00299",21/01/2024,MK
INV00266,C01464,"P00505,P00336,P00317,P00167",12/11/2024,TKO
INV00267,C01596,"P00505,P00336,P00317,P00232,P00411",15/12/2025,MK
INV00268,C00114,"P00546,P00279,P00457,P00214",14/08/2024,ST
INV00269,C00276,"P00021,P00181,P00439,P00174,P00450",01/07/2024,CYB
INV00270,C00846,"P00505,P00336,P00317,P00311,P00319",14/08/2025,MK
INV00271,C01730,"P00505,P00336,P00317,P00472,P00019",30/06/2025,ST
INV00272,C01297,"P00347,P00556,P00344",06/12/2025,TKO
INV00273,C00233,"P00021,P00181,P00439,P00527",06/01/2025,CYB
INV00274,C00220,"P00021,P00181,P00439,P00429",11/12/2025,MK
INV00275,C01211,"P00377,P00565",24/04/2025,CYB
INV00276,C01688,"P00162,P00517,P00445,P00408",16/02/2025,TKO
INV00277,C01742,"P00021,P00181,P00439,P00126",20/10/2024,ST
INV00278,C01257,"P00505,P00336,P00317,P00406",21/07/2024,MK
INV00279,C00554,"P00142,P00221,P00103,P00383,P00210",04/06/2024,ST
INV00280,C01482,"P00257,P00093,P00341,P00376",03/11/2025,TKO
INV00281,C00592,"P00108,P00170",05/01/2024,TKO
INV00282,C00311,"P00451,P00401,P00399,P00019,P00302",24/07/2024,TKO
INV00283,C00827,"P00459,P00502,P00188,P00483",16/12/2025,ST
INV00284,C01381,"P00505,P00336,P00317",17/05/2024,TKO
INV00285,C01270,"P00021,P00181,P00439",30/04/2024,TKO
INV00286,C00454,P00359,15/07/2025,TKO
INV00287,C01675,"P00574,P00480,P00054,P00508",11/02/2024,MK
INV00288,C01738,"P00505,P00336,P00317,P00418",15/03/2024,CYB
INV00289,C00626,"P00505,P00336,P00317",23/08/2024,TKO
INV00290,C00288,"P00231,P00315,P00138,P00172",04/02/2024,MK
INV00291,C01422,"P00176,P00477,P00451,P00150",14/08/2024,ST
INV00292,C01782,"P00021,P00181,P00439,P00025",08/12/2024,TKO
INV00293,C00116,P00562,02/02/2024,ST
INV00294,C01576,"P00264,P00010",18/12/2025,ST
INV00295,C00815,"P00505,P00336,P00317",31/01/2024,CYB
INV00296,C00262,"P00335,P00178,P00569,P00186,P00010",27/04/2025,TKO
INV00297,C00185,"P00021,P00181,P00439",31/05/2025,ST
INV00298,C00149,"P00379,P00025,P00376,P00143,P00099",18/08/2024,TKO
INV00299,C00015,"P00139,P00070",09/02/2025,CYB
INV00300,C01791,"P00505,P00336,P00317",28/05/2025,ST
INV00301,C00941,"P00160,P00415,P00418,P00042,P00054",23/06/2025,ST
INV00302,C01421,"P00021,P00181,P00439,P00323,P00115",24/09/2025,TKO
INV00303,C00188,"P00213,P00029",16/06/2024,ST
INV00304,C00623,"P00505,P00336,P00317,P00446",20/08/2024,TKO
INV00305,C01484,"P00238,P00470,P00395,P00075",09/04/2025,CYB
INV00306,C00432,"P00505,P00336,P00317",27/09/2024,CYB
INV00307,C01067,P00072,27/10/2025,ST
INV00308,C01675,"P00135,P00076,P00358",10/09/2025,TKO
INV00309,C00623,"P00220,P00277,P00367",19/05/2024,ST
INV00310,C00546,"P00505,P00336,P00317,P00241,P00560",17/05/2024,CYB
INV00311,C00671,"P00021,P00181,P00439",30/12/2024,TKO
INV00312,C00020,"P00505,P00336,P00317,P00413,P00106",10/03/2024,CYB
INV00313,C01705,"P00505,P00336,P00317",23/12/2025,TKO
INV00314,C00564,"P00089,P00029,P00559",04/09/2025,TKO
INV00315,C00366,"P00021,P00181,P00439,P00178,P00184",13/12/2024,CYB
INV00316,C00704,"P00505,P00336,P00317,P00172,P00555",26/10/2025,TKO
INV00317,C00073,"P00405,P00297,P00267",17/10/2024,ST
INV00318,C01222,"P00121,P00008",20/04/2024,TKO
INV00319,C00937,"P00421,P00283,P00225,P00160",14/10/2025,CYB
INV00320,C01607,"P00545,P00057,P00314",02/11/2024,TKO
INV00321,C01383,"P00021,P00181,P00439,P00048,P00131",21/02/2024,TKO
INV00322,C01116,P00400,20/02/2025,TKO
INV00323,C00571,"P00237,P00208,P00205,P00150",14/07/2025,MK
INV00324,C01145,"P00021,P00181,P00439,P00129,P00237",14/10/2025,MK
INV00325,C01430,"P00084,P00215,P00454,P00453",15/05/2025,TKO
INV00326,C01544,"P00186,P00470,P00092",03/11/2024,TKO
INV00327,C00723,"P00547,P00109,P00154",18/10/2024,TKO
INV00328,C00167,"P00505,P00336,P00317,P00091,P00247",21/06/2025,ST
INV00329,C01439,"P00147,P00035,P00014,P00197",08/07/2025,MK
INV00330,C01752,"P00391,P00328,P00333,P00433,P00557",21/04/2024,CYB
INV00331,C00949,"P00505,P00336,P00317,P00140,P00557",30/09/2024,ST
INV00332,C01185,"P00468,P00102,P00372",04/09/2025,TKO
INV00333,C00764,"P00389,P00428,P00375,P00452,P00154",17/02/2025,MK
INV00334,C00025,"P00210,P00497",29/03/2025,TKO
INV00335,C00831,"P00378,P00122",05/03/2024,CYB
INV00336,C01369,"P00074,P00148,P00236,P00292",16/09/2025,TKO
INV00337,C00794,"P00505,P00336,P00317,P00553,P00257",31/03/2025,CYB
INV00338,C01216,"P00021,P00181,P00439",28/11/2024,TKO
INV00339,C01728,"P00204,P00294,P00354,P00106",18/03/2025,ST
INV00340,C00758,"P00021,P00181,P00439,P00157,P00103",09/05/2024,TKO
INV00341,C01523,P00386,21/02/2025,ST
INV00342,C01743,P00206,24/04/2025,CYB
INV00343,C01753,"P00155,P00348,P00418,P00372",03/12/2025,CYB
INV00344,C00342,"P00021,P00181,P00439,P00458",02/12/2024,ST
INV00345,C00176,P00314,02/08/2024,MK
INV00346,C01457,"P00505,P00336,P00317,P00335",28/04/2024,ST
INV00347,C00625,"P00481,P00503,P00272,P00340,P00368",29/07/2025,ST
INV00348,C01473,"P00350,P00536,P00018,P00105",03/07/2025,TKO
INV00349,C00405,"P00042,P00254,P00255,P00394",15/05/2025,CYB
INV00350,C00863,"P00021,P00181,P00439,P00323",06/01/2025,TKO
INV00351,C01539,P00065,06/11/2025,MK
INV00352,C01403,"P00325,P00079,P00415,P00349,P00085",21/06/2025,ST
INV00353,C01005,"P00021,P00181,P00439,P00468,P00160",18/04/2025,TKO
INV00354,C00040,"P00505,P00336,P00317,P00072,P00450",10/09/2025,MK
INV00355,C00570,"P00021,P00181,P00439,P00143",23/11/2024,TKO
INV00356,C00926,"P00182,P00062,P00218",07/02/2025,CYB
INV00357,C01220,"P00021,P00181,P00439",05/08/2024,ST
INV00358,C01751,"P00159,P00163",09/12/2024,ST
INV00359,C01042,"P00505,P00336,P00317,P00354",12/09/2024,ST
INV00360,C01039,"P00492,P00408,P00363",20/04/2024,TKO
INV00361,C01328,"P00079,P00128,P00419,P00392,P00195",30/09/2025,CYB
INV00362,C01507,"P00169,P00182,P00175",16/09/2024,TKO
INV00363,C01148,"P00505,P00336,P00317",29/11/2025,TKO
INV00364,C00810,"P00021,P00181,P00439,P00103,P00013",12/07/2024,TKO
INV00365,C01430,"P00187,P00140,P00116,P00101,P00144",12/09/2025,CYB
INV00366,C01133,"P00021,P00181,P00439",15/03/2024,ST
INV00367,C00533,"P00411,P00490",06/09/2025,CYB
INV00368,C01066,"P00505,P00336,P00317",15/11/2024,CYB
INV00369,C00060,"P00214,P00433,P00429,P00510",26/08/2025,MK
INV00370,C00226,"P00427,P00399,P00283,P00065",25/01/2025,MK
INV00371,C00900,"P00021,P00181,P00439",06/02/2025,TKO
INV00372,C01794,"P00336,P00195",18/02/2025,MK
INV00373,C00524,"P00381,P00343,P00260,P00205,P00084",24/02/2024,CYB
INV00374,C01727,"P00231,P00465",14/01/2024,TKO
INV00375,C00716,"P00413,P00555,P00252,P00036",30/10/2025,CYB
INV00376,C01605,"P00573,P00558,P00384",03/03/2024,CYB
INV00377,C00433,P00332,01/06/2025,CYB
INV00378,C01537,P00521,29/11/2025,CYB
INV00379,C00434,"P00021,P00181,P00439",29/01/2024,TKO
INV00380,C01081,"P00458,P00494",31/05/2025,TKO
INV00381,C01808,P00319,08/09/2024,CYB
INV00382,C01750,"P00003,P00263",15/08/2025,CYB
INV00383,C01807,"P00500,P00364,P00270,P00341,P00460",20/11/2024,CYB
INV00384,C00782,"P00342,P00251,P00040,P00459,P00204",25/11/2024,MK
INV00385,C00371,"P00364,P00007,P00014,P00098",03/11/2024,CYB
INV00386,C00673,"P00021,P00181,P00439,P00158",10/02/2024,ST
INV00387,C01426,"P00105,P00559,P00397",16/04/2025,MK
INV00388,C00356,"P00505,P00336,P00317,P00510",04/09/2024,MK
INV00389,C00016,"P00021,P00181,P00439,P00366,P00028",16/08/2025,CYB
INV00390,C01245,"P00450,P00456",04/12/2024,ST
INV00391,C01817,"P00505,P00336,P00317,P00015",29/11/2025,MK
INV00392,C00988,"P00505,P00336,P00317,P00536",14/07/2024,MK
INV00393,C01759,"P00227,P00246,P00425,P00035,P00231",05/06/2025,TKO
INV00394,C00075,"P00272,P00011,P00422,P00420,P00396",29/06/2024,MK
INV00395,C01514,"P00149,P00117,P00364,P00504,P00322",20/11/2024,CYB
INV00396,C00535,"P00340,P00268,P00234,P00571",07/11/2024,CYB
INV00397,C00711,"P00021,P00181,P00439",13/07/2024,CYB
INV00398,C01389,"P00021,P00181,P00439,P00395,P00309",03/03/2024,ST
INV00399,C01414,"P00021,P00181,P00439",27/08/2024,CYB
INV00400,C01163,"P00350,P00511",02/12/2024,MK
INV00401,C00064,"P00457,P00296,P00416,P00180,P00164",22/12/2024,TKO
INV00402,C00273,"P00205,P00348,P00378,P00181",29/06/2025,ST
INV00403,C01240,"P00505,P00336,P00317,P00374",08/12/2024,TKO
INV00404,C00169,"P00510,P00186,P00015,P00383",24/02/2024,TKO
INV00405,C00019,P00491,06/11/2024,MK
INV00406,C00393,"P00189,P00009,P00528,P00061,P00371",10/05/2024,MK
